PlayerId,PlayerName,TeamName,Position,age,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun
650968,Yohel Pozo,St. Louis Cardinals,Catcher,28.0,67.0,45.0,57.0,16.0,8.0,0.0,5.0,22.0,7.0,0.0,37.0,0.0,.231,160.0,.262,.375,.637,0.0,0.0,.---,.---,4.0,591.0,168.0,60.0,19.0,70.0,0.0,1.0,.239,0.79,0.0,32.00
676044,Bob Seymour,Tampa Bay Rays,First Base,26.0,26.0,14.0,16.0,9.0,1.0,1.0,1.0,32.0,4.0,0.0,16.0,1.0,.205,78.0,.253,.282,.535,0.0,1.0,1.000,.000,0.0,295.0,83.0,22.0,5.0,28.0,0.0,0.0,.333,0.88,0.0,78.00
664040,Brandon Lowe,Tampa Bay Rays,Second Base,30.0,134.0,107.0,127.0,79.0,19.0,0.0,31.0,149.0,38.0,1.0,130.0,2.0,.256,507.0,.307,.477,.784,2.0,3.0,.600,.400,6.0,2146.0,553.0,242.0,83.0,201.0,0.0,6.0,.297,0.84,0.0,16.36
700246,Carson Williams,Tampa Bay Rays,Shortstop,22.0,32.0,25.0,14.0,11.0,3.0,0.0,5.0,44.0,6.0,0.0,17.0,0.0,.172,99.0,.219,.354,.573,1.0,2.0,.667,.333,3.0,415.0,106.0,35.0,12.0,47.0,1.0,0.0,.240,1.79,0.0,19.80
802415,Chandler Simpson,Tampa Bay Rays,Outfielder,24.0,109.0,176.0,78.0,53.0,15.0,3.0,0.0,43.0,20.0,0.0,122.0,0.0,.295,414.0,.326,.345,.671,12.0,44.0,.786,.214,10.0,1517.0,441.0,143.0,26.0,125.0,3.0,2.0,.327,2.26,2.0,-.--
666624,Christopher Morel,Tampa Bay Rays,Outfielder,26.0,105.0,40.0,68.0,37.0,16.0,0.0,11.0,109.0,25.0,0.0,61.0,2.0,.219,278.0,.289,.396,.685,2.0,7.0,.778,.222,8.0,1177.0,305.0,110.0,33.0,122.0,0.0,0.0,.316,0.59,0.0,25.27
677592,Everson Pereira,Tampa Bay Rays,Outfielder,24.0,23.0,14.0,15.0,7.0,1.0,0.0,2.0,28.0,7.0,0.0,9.0,0.0,.138,65.0,.219,.246,.465,0.0,2.0,1.000,.000,2.0,307.0,73.0,16.0,8.0,32.0,0.0,1.0,.194,0.93,0.0,32.50
676439,Hunter Feduccia,Tampa Bay Rays,Catcher,,38.0,21.0,27.0,5.0,5.0,0.0,0.0,29.0,15.0,0.0,13.0,0.0,.148,88.0,.267,.205,.472,0.0,1.0,1.000,.000,0.0,477.0,105.0,18.0,8.0,50.0,0.0,2.0,.213,0.78,0.0,-.--
663968,Jake Mangum,Tampa Bay Rays,Outfielder,29.0,118.0,138.0,85.0,37.0,18.0,1.0,3.0,64.0,19.0,0.0,120.0,2.0,.296,405.0,.330,.368,.698,6.0,27.0,.818,.182,4.0,1442.0,428.0,149.0,40.0,159.0,1.0,1.0,.345,1.62,0.0,135.00
666018,Jonathan Aranda,Tampa Bay Rays,First Base,27.0,106.0,64.0,85.0,56.0,22.0,0.0,14.0,107.0,41.0,3.0,117.0,8.0,.316,370.0,.393,.489,.882,2.0,0.0,.000,1.000,9.0,1717.0,422.0,181.0,59.0,154.0,0.0,3.0,.409,0.75,0.0,26.43
